"CATEGORY","HANDLE","PARCELID","PROPERTYADDRESS"
"Vacant Lot","14567000290","45679290000","4225 WEST BELLE PL "
"Garden Lot","14484060110","44849160000","4840 ST LOUIS AV "
"Vacant Lot","14564000220","45649220000","3970 FINNEY AV "
"Fenced & Locked or Paved Lot","11075000210","10759210000","2535 DODIER ST "
"Vacant Lot","11890000340","18909340000","2441 LAFLIN ST "
"Fenced & Locked or Paved Lot","11045000140","10459140000","3301 DR SAMUEL T SHEPARD DR "
"Demolition","11572000250","15729250000","3415 CALIFORNIA AV "
"Vacant Building","11572000410","15729410000","3457 CALIFORNIA AV "
"Fenced & Locked or Paved Lot","11056000040","10569040000","3410 WASHINGTON BLVD "
"Vacant Lot","14449010220","44499110000","3514 CORA AV "
"Vacant Building","14436000230","44369230000","4265 FARLIN AV "
"Vacant Building","14441100190","44419590000","4233 W LEXINGTON AV "
"Vacant Lot","14446040320","44469255000","4463 LEXINGTON AV "
"Vacant Building","14462050380","44629190000","4515 ELMBANK AV "
"Vacant Building","14426030100","44269050000","4258 LEE AV "
"Vacant Lot","14426030200","44269100000","4115 RED BUD AV "
"Vacant Lot","14426030210","44269105000","4109 RED BUD AV "
"Northside Regeneration VB","11844000190","18449190000","2713 CASS AV "
"Northside Regeneration VL","11068000195","10689195000","2587 MONTGOMERY ST "
"Northside Regeneration VL","11070000015","10709015000","2566 W DODIER ST "
"Northside Regeneration VL","11070000020","10709020000","2562 W DODIER ST "
"Northside Regeneration VL","11070000050","10709050000","2554 W DODIER ST "
"Vacant Lot","11045000095","10459130000",""
"Vacant Lot","12332000110","23329110000","1917 MADISON ST "
"Vacant Lot","10347000030","03479030000","926 TYLER ST "
"Fenced & Locked or Paved Lot","14456000160","44569160000","4914 PALM ST "
"Vacant Building","14436000220","44369220000","4263 FARLIN AV "
"Vacant Lot","14426030090","44269045000","4260 LEE AV "
"Vacant Lot","14416160210","44169350000","4420 ANDERSON AV "
"Vacant Building","13818100250","38189495000","1417 BLACKSTONE AV "
"Fenced & Locked or Paved Lot","13823040290","38239265000","1318 HAMILTON BLVD "
"Vacant Lot","13834050220","38349115000","5922 MINERVA AV "
"Northside Regeneration VL","11075000010","10759010000","2548 SULLIVAN AV "
"Vacant Building","12719000310","27199310000","2907 MOUNT PLEASANT ST "
"Vacant Lot","11575000140","15759140000","3502 PENNSYLVANIA AV "
